1628, 2847
1596, 2907
1508, 3177
1284, 6527
1344, 5223
1312, 6244
1328, 5672
1316, 5730
1368, 4544
1352, 4954
1620, 2894
1332, 5349
1340, 5305
1420, 3556
1468, 3318
1396, 4034
1472, 3267
1444, 3398
1440, 3419
1484, 3215
1404, 3883
1428, 3422
1452, 3340
1372, 4158
1516, 2927
1360, 4767
1348, 4974
1520, 4318
1344, 10288
1332, 10340
1556, 4108
1428, 5835
1416, 5938
1400, 6660
1412, 6192
1388, 6738
1404, 6553
1372, 6747
1352, 8508
1360, 7216
1464, 4977
1484, 4595
1596, 3836
1604, 3744
1600, 3779
1584, 4003
1616, 3660
1452, 5367
1348, 9532
1572, 4077
1432, 5406
1588, 3957
1408, 5469
1472, 4187
1460, 4210
1444, 4311
1412, 4541
1448, 4291
1436, 4428
1432, 4448
1392, 6726
1416, 6059
1464, 5022
1380, 7602
1428, 5415
1468, 4705
1584, 3958
1600, 3884
1344, 9276
1408, 6144
1340, 9790
1400, 6640
1624, 3634
1448, 5359
1384, 7101
1356, 8453
1420, 5828
1404, 6404
1508, 3962
1372, 7673
1480, 4605
1460, 5183
