1884, 208
1912, 171
1900, 177
1880, 240
1852, 425
1920, 125
1764, 1690
1748, 1862
1816, 879
1832, 793
1844, 630
1828, 794
1788, 1134
1796, 1129
1840, 696
1812, 916
1836, 748
1772, 1301
1804, 955
1848, 536
1784, 1152
1892, 423
1884, 702
1856, 962
1836, 2038
1840, 1691
1832, 2181
1764, 3597
1876, 800
1800, 2477
1820, 2184
1852, 1381
1796, 2597
1860, 2811
1864, 782
1868, 638
1884, 590
1896, 663
1768, 3663
1832, 1184
1788, 3604
1792, 3439
1868, 1119
1812, 1944
1888, 802
1900, 368
1804, 2601
1872, 853
1800, 2775
