1796, 568
1668, 1022
1732, 746
1816, 419
1604, 1294
1548, 1553
1528, 1763
1532, 1740
1676, 995
1784, 599
1476, 1855
1640, 1098
1464, 2188
1420, 3140
1684, 891
1524, 1775
1736, 667
1776, 604
1696, 884
1596, 1359
1600, 1322
1432, 2452
1540, 1682
1572, 1452
1680, 967
1564, 1490
1708, 847
1436, 2288
1800, 548
1788, 588
1712, 806
1808, 536
1560, 1524
1472, 2059
1520, 1822
1620, 1183
1636, 1151
1752, 660
1544, 1607
1728, 803
1576, 1411
1840, 330
1756, 627
1608, 1266
1672, 1008
1588, 1403
1700, 857
1644, 1085
