616, 1877
636, 1320
736, 508
788, 261
624, 1507
692, 828
684, 875
712, 616
800, 257
660, 1025
704, 751
700, 781
728, 568
664, 980
708, 662
688, 834
744, 455
672, 895
756, 446
760, 410
724, 600
824, 254
740, 507
732, 545
776, 319
768, 351
720, 613
780, 315
732, 846
740, 694
708, 970
760, 547
736, 814
652, 1668
768, 399
824, 246
712, 968
656, 1487
700, 1045
756, 576
840, 239
812, 354
752, 646
648, 1854
716, 910
672, 1287
620, 2120
684, 1196
716, 851
720, 737
724, 489
748, 407
740, 486
800, 420
672, 1245
844, 235
736, 752
688, 1075
764, 616
704, 798
836, 285
648, 1553
640, 1992
780, 474
752, 648
740, 690
624, 2320
760, 623
772, 555
816, 330
652, 1507
