3580, 869
3568, 907
3224, 4955
3244, 4062
3356, 2137
3236, 4316
3492, 1047
3228, 4636
3432, 1345
3220, 6167
3484, 1082
3512, 990
3536, 912
3528, 927
3388, 1505
3488, 1065
3448, 1237
3260, 3107
3276, 2693
3312, 2421
3264, 2981
3252, 3563
3492, 1878
3440, 2189
3528, 897
3220, 5243
3496, 1740
3280, 4455
3504, 1711
3284, 4256
3244, 5026
3524, 1303
3376, 2946
3380, 2408
3196, 6349
3180, 7255
3304, 3204
3352, 2948
3300, 4121
3460, 2060
3472, 1959
3384, 2448
3380, 2657
3424, 2115
3428, 1926
3432, 1914
3328, 3189
3348, 3033
3212, 6570
3392, 2633
3496, 1686
3476, 1877
3288, 3694
3468, 2011
3300, 3421
3344, 3121
3220, 5714
3228, 5675
3612, 1307
3528, 1374
3408, 2438
3400, 2589
3360, 2871
3244, 4981
3248, 4365
3620, 1049
3404, 2463
3432, 2066
3488, 1724
3600, 1353
3364, 2692
3284, 3925
3520, 1553
3416, 2332
3216, 5802
3320, 3159
3396, 2620
3484, 1728
